original,collapse,collapse_union,collapse_union_1
army camp,armycamp,armycamp,armycamp
army camps,armycamp,armycamp,armycamp
army exchange,armyexchange,armyexchange,armyexchange
black boi,blackboi,blackmale,blackperson
black boy,blackboi,blackmale,blackperson
black boys,blackboi,blackmale,blackperson
black girl,blackgirl,blackfemale,blackperson
black girls,blackgirl,blackfemale,blackperson
black man,blackman,blackmale,blackperson
black men,blackman,blackmale,blackperson
black soldier,blacksoldier,blackmale,blackperson
black soldiers,blacksoldier,blackmale,blackperson
black woman,blackwoman,blackfemale,blackperson
black women,blackwoman,blackfemale,blackperson
bunk bed,bunkbed,bunkbed,bunkbed
bunk beds,bunkbed,bunkbed,bunkbed
color boi,colorboi,blackmale,blackperson
color boy,colorboi,blackmale,blackperson
color boys,colorboi,blackmale,blackperson
color girl,colorgirl,blackfemale,blackperson
color girls,colorgirl,blackfemale,blackperson
color men,colorman,blackmale,blackperson
color man,colorman,blackmale,blackperson
color soldier,colorsoldier,blackmale,blackperson
color soldiers,colorsoldier,blackmale,blackperson
color woman,colorwoman,blackfemale,blackperson
color women,colorwoman,blackfemale,blackperson
colored boi,colorboi,blackmale,blackperson
colored boy,colorboi,blackmale,blackperson
colored boys,colorboi,blackmale,blackperson
colored boys,colorboi,blackmale,blackperson
colored girl,colorgirl,blackfemale,blackperson
colored girls,colorgirl,blackfemale,blackperson
colored man,colorman,blackmale,blackperson
colored men,colorman,blackmale,blackperson
colored soldier,coloredsoldier,blackmale,blackperson
colored soldiers,coloredsoldiers,blackmale,blackperson
colored woman,colorwoman,blackfemale,blackperson
colored women,colorwoman,blackfemale,blackperson
girl friend,girlfriend,girlfriend,girlfriend
girl friends,girlfriend,girlfriend,girlfriend
mess hall,messhall,messhall,messhall
mess halls,messhall,messhall,messhall
negro boi,negroboi,blackmale,blackperson
negro boys,negroboi,blackmale,blackperson
negro girl,negrogirl,blackfemale,blackperson
negro girls,negrogirl,blackfemale,blackperson
negro man,negroman,blackfemale,blackperson
negro men,negroman,blackfemale,blackperson
negro soldier,negrosoldier,blackmale,blackperson
negro soldiers,negrosoldier,blackmale,blackperson
negro woman,negrowoman,blackfemale,blackperson
negro women,negrowoman,blackfemale,blackperson
post exchange,postexchange,postexchange,postexchange
servic club,serviceclub,serviceclub,serviceclub
service club,serviceclub,serviceclub,serviceclub
sweet heart,sweetheart,sweetheart,sweetheart
white boi,whiteboi,whitemale,whiteperson
white boys,whiteboi,whitemale,whiteperson
white girl,whitegirl,whitefemale,whiteperson
white girls,whitegirl,whitefemale,whiteperson
white man,whiteman,whitemale,whiteperson
white men,whiteman,whitemale,whiteperson
white soldier,whitesoldier,whitemale,whiteperson
whitesoldiers,whitesoldier,whitemale,whiteperson
white woman,whitewoman,whitefemale,whiteperson
white women,whitewoman,whitefemale,whiteperson
negro boy,negroboy,blackmale,blackperson
