gender,category
androgynous,identity
boy,male
boys,male
bride,female
engage,relation
engaged,relation
fem,female
female,female
females,female
feminine,female
femme,female
gender,construct
gendered,construct
gal,female
gals,female
girl,female
girlfriend,female
girl friend,female
girls,female
husband,male
intercourse,relation
lady,female
ladies,female
male,male
males,male
man,male
marriage,relation
married,relation
marry,relation
masculine,male
men,male
misogynous,construct
patriarchal,construct
patrilineal,male
rape,relation
sex,relation
sexed,construct
sexes,construct
sexism,construct
sexist,construct
sexual relations,relation
transgender,identity
transgendered,identity
transman,identity
transmen,identity
transphobic,identity
transsexual,identity
transsexuals,identity
transwoman,identity
transwomen,identity
wife,relation
wives,relation
woman,female
women,female
